sls_ord_num,sls_prd_key,sls_cust_id,sls_order_dt,sls_ship_dt,sls_due_dt,sls_sales,sls_quantity,sls_price
SO75124,BK-M82B-48,28398,20140215,20140222,20140227,3578,1,3578
SO75125,BK-R93R-48,20739,20140213,20140219,20140224,22,1,22
SO75126,LJ-0192-S,19545,20140131,20140207,20140212,110,5,22
SO75127,HL-U509,16328,20140306,20140312,20140317,1032,3,344
SO75128,BK-R50B-62,14444,20140326,20140402,20140407,13500,4,3375
SO75129,HL-U509,16601,20140204,20140210,20140215,10200,3,3400
SO75130,BK-M82B-48,25870,20140131,20140205,20140210,7156,2,3578
SO75131,BK-M82S-44,26898,20140222,20140303,20140308,110,5,22
SO75132,BK-R93R-62,26231,20140226,20140306,20140311,159,1,159
SO75133,BK-M82B-48,23521,20140308,20140316,20140321,318,2,159
SO75134,SO-B909-M,18241,20140205,20140213,20140218,36,4,9
SO75135,HL-U509,16776,20140303,20140311,20140316,477,3,159
SO75136,HL-U509,11932,20140305,20140311,20140316,27,3,9
SO75137,BK-R93R-48,15256,20140223,20140301,20140306,1398,2,699
SO75138,FE-6654,15328,20140328,20140404,20140409,45,5,9
SO75139,SO-B909-M,20990,20140315,20140321,20140326,110,5,22
SO75140,BK-R50B-62,11622,20140313,20140320,20140325,66,3,22
SO75141,LJ-0192-S,25597,20140214,20140223,20140228,17890,5,3578
SO75142,BK-R93R-48,23320,20140226,20140306,20140311,10734,3,3578
SO75143,LJ-0192-S,21835,20140317,20140325,20140330,10125,3,3375
SO75144,FE-6654,15265,20140215,20140221,20140226,344,1,344
SO75145,ST-1401,19963,20140313,20140322,20140327,18,2,9
SO75146,BK-R93R-62,16844,20140212,20140220,20140225,13600,4,3400
SO75147,FE-6654,27948,20140206,20140214,20140219,1376,4,344
SO75148,BK-M82S-44,21147,20140131,20140206,20140211,636,4,159
SO75149,SO-B909-M,11882,20140324,20140402,20140407,3578,1,3578
SO75150,HL-U509,15428,20140309,20140315,20140320,344,1,344
SO75151,FE-6654,18329,20140220,20140225,20140302,17890,5,3578
SO75152,BK-R93R-48,16353,20140306,20140316,20140321,636,4,159
SO75153,ST-1401,20726,20140306,20140312,20140317,36,4,9
SO75154,BK-M82S-44,20084,20140212,20140220,20140225,9,1,9
SO75155,ST-1401,20577,20140330,20140404,20140409,7156,2,3578
SO75156,LJ-0192-S,28345,20140218,20140224,20140301,13600,4,3400
SO75157,BK-R50B-62,22872,20140310,20140319,20140324,1720,5,344
SO75158,BK-R50B-62,11545,20140218,20140223,20140228,27,3,9
SO75159,FE-6654,27586,20140330,20140404,20140409,1032,3,344
SO75160,BK-R50B-62,14243,20140308,20140317,20140322,795,5,159
SO75161,LJ-0192-S,22205,20140306,20140311,20140316,1376,4,344
SO75162,BK-R50B-62,17938,20140201,20140206,20140211,1720,5,344
SO75163,HL-U509,14704,20140225,20140303,20140308,477,3,159
SO75164,LJ-0192-S,14672,20140210,20140219,20140224,688,2,344
SO75165,BK-R93R-62,20564,20140318,20140324,20140329,7156,2,3578
SO75166,BK-M82B-48,27563,20140210,20140218,20140223,18,2,9
SO75167,ST-1401,15095,20140315,20140323,20140328,10200,3,3400
SO75168,BK-R93R-62,12987,20140316,20140322,20140327,88,4,22
SO75169,BK-R93R-48,28510,20140328,20140404,20140409,318,2,159
SO75170,CA-1098,13374,20140224,20140304,20140309,18,2,9
SO75171,BK-M82S-44,15839,20140222,20140303,20140308,636,4,159
SO75172,BK-R50B-62,15351,20140129,20140207,20140212,3400,1,3400
SO75173,BK-M82B-48,26221,20140130,20140209,20140214,10125,3,3375
