CID,CNTRY
AW-00029484,Netherlands
AW-00029485,US
AW-00029486,US
AW-00029487,France
AW-00029488,Germany
AW-00029489,Sweden
AW-00029490,Italy
AW-00029491,Netherlands
AW-00029492,Japan
AW-00029493,Germany
AW-00029494,Spain
AW-00029495,Belgium
AW-00029496,Japan
AW-00029497,Canada
AW-00029498,Belgium
AW-00029499,Italy
AW-00029500,France
AW-00029501,Netherlands
AW-00029502,Norway
AW-00029503,Japan
AW-00029504,US
AW-00029505,United Kingdom
AW-00029506,Denmark
AW-00029507,Italy
AW-00029508,Spain
AW-00029509,Spain
AW-00029510,Canada
AW-00029511,United Kingdom
AW-00029512,US
AW-00029513,Denmark
AW-00029514,Belgium
AW-00029515,Canada
AW-00029516,Canada
AW-00029517,Canada
AW-00029518,Sweden
AW-00029519,Spain
AW-00029520,US
AW-00029521,United Kingdom
AW-00029522,France
AW-00029523,Italy
AW-00029524,France
AW-00029525,Japan
AW-00029526,Japan
AW-00029527,Sweden
AW-00029528,Canada
AW-00029529,US
AW-00029530,Belgium
AW-00029531,Spain
AW-00029532,Belgium
AW-00029533,Norway
AW-00029534,Belgium
AW-00029535,United Kingdom
AW-00029536,Sweden
AW-00029537,US
AW-00029538,US
AW-00029539,Germany
AW-00029540,United Kingdom
AW-00029541,US
AW-00029542,France
AW-00029543,Australia
AW-00029544,US
AW-00029545,Australia
AW-00029546,United Kingdom
AW-00029547,France
AW-00029548,Australia
AW-00029549,Sweden
AW-00029550,Italy
AW-00029551,Spain
AW-00029552,Netherlands
AW-00029553,Norway
AW-00029554,Spain
AW-00029555,Netherlands
AW-00029556,Germany
AW-00029557,United Kingdom
AW-00029558,Japan
AW-00029559,Sweden
AW-00029560,Norway
AW-00029561,Belgium
AW-00029562,Netherlands
AW-00029563,Sweden
AW-00029564,Italy
AW-00029565,Italy
AW-00029566,France
AW-00029567,Belgium
AW-00029568,France
AW-00029569,Netherlands
AW-00029570,Germany
AW-00029571,France
AW-00029572,Belgium
AW-00029573,Netherlands
AW-00029574,Belgium
AW-00029575,Australia
AW-00029576,Netherlands
AW-00029577,Sweden
AW-00029578,Australia
AW-00029579,Australia
AW-00029580,Canada
AW-00029581,Netherlands
AW-00029582,Denmark
AW-00029583,Denmark
AW-00029584,Italy
AW-00029585,United Kingdom
AW-00029586,United Kingdom
AW-00029587,Belgium
AW-00029588,Belgium
AW-00029589,Australia
AW-00029590,Norway
AW-00029591,Italy
AW-00029592,France
AW-00029593,Belgium
AW-00029594,United Kingdom
AW-00029595,Australia
AW-00029596,Sweden
AW-00029597,Canada
AW-00029598,Spain
AW-00029599,US
AW-00029600,Italy
AW-00029601,US
AW-00029602,Norway
AW-00029603,Netherlands
AW-00029604,Italy
AW-00029605,Spain
AW-00029606,Japan
AW-00029607,Canada
AW-00029608,US
AW-00029609,Australia
AW-00029610,Sweden
AW-00029611,Spain
AW-00029612,Germany
AW-00029613,Australia
AW-00029614,United Kingdom
AW-00029615,Netherlands
AW-00029616,Netherlands
AW-00029617,US
AW-00029618,Italy
AW-00029619,Denmark
AW-00029620,Sweden
AW-00029621,United Kingdom
AW-00029622,Australia
AW-00029623,Italy
AW-00029624,US
AW-00029625,France
AW-00029626,Netherlands
AW-00029627,France
AW-00029628,United Kingdom
AW-00029629,Australia
AW-00029630,Norway
AW-00029631,Norway
AW-00029632,Netherlands
AW-00029633,Germany
AW-00029634,Netherlands
AW-00029635,Italy
AW-00029636,France
AW-00029637,Spain
AW-00029638,Australia
AW-00029639,Italy
AW-00029640,United Kingdom
AW-00029641,US
AW-00029642,Norway
AW-00029643,US
AW-00029644,Australia
AW-00029645,Norway
AW-00029646,Germany
AW-00029647,France
AW-00029648,Italy
AW-00029649,Canada
AW-00029650,Denmark
AW-00029651,Australia
AW-00029652,Netherlands
AW-00029653,Denmark
AW-00029654,Japan
AW-00029655,Germany
AW-00029656,Sweden
AW-00029657,Belgium
AW-00029658,Norway
AW-00029659,Germany
AW-00029660,Germany
AW-00029661,Australia
AW-00029662,US
AW-00029663,United Kingdom
AW-00029664,US
AW-00029665,Japan
AW-00029666,Norway
AW-00029667,Italy
AW-00029668,United Kingdom
AW-00029669,Japan
AW-00029670,Belgium
AW-00029671,Germany
AW-00029672,Spain
AW-00029673,Australia
AW-00029674,Belgium
AW-00029675,Sweden
AW-00029676,US
AW-00029677,United Kingdom
AW-00029678,Sweden
AW-00029679,US
AW-00029680,Japan
AW-00029681,Australia
AW-00029682,Belgium
AW-00029683,Belgium
AW-00029684,Japan
AW-00029685,Sweden
AW-00029686,Netherlands
AW-00029687,Denmark
AW-00029688,Germany
AW-00029689,United Kingdom
AW-00029690,Spain
AW-00029691,US
AW-00029692,Belgium
AW-00029693,Sweden
AW-00029694,Italy
AW-00029695,Denmark
AW-00029696,Belgium
AW-00029697,Sweden
AW-00029698,Canada
AW-00029699,Sweden
AW-00029700,Sweden
AW-00029701,Japan
AW-00029702,Sweden
AW-00029703,Australia
AW-00029704,Sweden
AW-00029705,Belgium
AW-00029706,France
AW-00029707,Netherlands
AW-00029708,Spain
AW-00029709,Denmark
AW-00029710,Sweden
AW-00029711,Germany
AW-00029712,France
AW-00029713,France
AW-00029714,Italy
AW-00029715,Australia
AW-00029716,Italy
AW-00029717,France
AW-00029718,Sweden
AW-00029719,Norway
AW-00029720,Netherlands
AW-00029721,Spain
AW-00029722,Netherlands
AW-00029723,Sweden
AW-00029724,Germany
AW-00029725,Australia
AW-00029726,Australia
AW-00029727,Netherlands
AW-00029728,Norway
AW-00029729,France
AW-00029730,Netherlands
AW-00029731,Canada
AW-00029732,Netherlands
AW-00029733,France
AW-00029734,France
AW-00029735,Canada
AW-00029736,Italy
AW-00029737,Spain
AW-00029738,Belgium
AW-00029739,Australia
AW-00029740,Italy
AW-00029741,Sweden
AW-00029742,US
AW-00029743,Germany
AW-00029744,Italy
AW-00029745,Australia
AW-00029746,Sweden
AW-00029747,Germany
AW-00029748,Canada
AW-00029749,United Kingdom
AW-00029750,Norway
AW-00029751,Germany
AW-00029752,Belgium
AW-00029753,Denmark
AW-00029754,Norway
AW-00029755,Canada
AW-00029756,United Kingdom
AW-00029757,Spain
AW-00029758,Japan
AW-00029759,United Kingdom
AW-00029760,Norway
AW-00029761,United Kingdom
AW-00029762,Canada
AW-00029763,Germany
AW-00029764,Australia
AW-00029765,Germany
AW-00029766,Germany
AW-00029767,Norway
AW-00029768,Denmark
AW-00029769,Norway
AW-00029770,Australia
AW-00029771,Australia
AW-00029772,Canada
AW-00029773,Canada
AW-00029774,Italy
AW-00029775,France
AW-00029776,Canada
AW-00029777,Spain
AW-00029778,Belgium
AW-00029779,Japan
AW-00029780,Belgium
AW-00029781,Denmark
AW-00029782,Denmark
AW-00029783,Netherlands
AW-00029784,France
AW-00029785,Spain
AW-00029786,Spain
AW-00029787,Netherlands
AW-00029788,Canada
AW-00029789,Netherlands
AW-00029790,France
AW-00029791,Denmark
AW-00029792,United Kingdom
AW-00029793,Japan
AW-00029794,Sweden
AW-00029795,Germany
AW-00029796,Sweden
AW-00029797,US
AW-00029798,Spain
AW-00029799,Spain
AW-00029800,US
AW-00029801,US
AW-00029802,Norway
AW-00029803,Netherlands
AW-00029804,Germany
AW-00029805,Japan
AW-00029806,Italy
AW-00029807,Japan
AW-00029808,Canada
AW-00029809,Denmark
AW-00029810,Canada
AW-00029811,Germany
AW-00029812,Netherlands
AW-00029813,US
AW-00029814,Germany
AW-00029815,Sweden
AW-00029816,United Kingdom
AW-00029817,United Kingdom
AW-00029818,Italy
AW-00029819,Australia
AW-00029820,Australia
AW-00029821,Australia
AW-00029822,Netherlands
AW-00029823,France
AW-00029824,Canada
AW-00029825,US
AW-00029826,Italy
AW-00029827,Norway
AW-00029828,Belgium
AW-00029829,Belgium
AW-00029830,Japan
AW-00029831,Denmark
AW-00029832,Netherlands
AW-00029833,Denmark
AW-00029834,Japan
AW-00029835,Spain
AW-00029836,Sweden
AW-00029837,Japan
AW-00029838,US
AW-00029839,US
AW-00029840,US
AW-00029841,US
AW-00029842,Italy
AW-00029843,Belgium
AW-00029844,Australia
AW-00029845,United Kingdom
AW-00029846,Netherlands
AW-00029847,Canada
AW-00029848,Denmark
AW-00029849,Australia
AW-00029850,France
AW-00029851,Norway
AW-00029852,Australia
AW-00029853,Australia
AW-00029854,US
AW-00029855,Italy
AW-00029856,Australia
AW-00029857,Belgium
AW-00029858,Netherlands
AW-00029859,Germany
AW-00029860,Australia
AW-00029861,Japan
AW-00029862,Germany
AW-00029863,Italy
AW-00029864,Norway
AW-00029865,Sweden
AW-00029866,Sweden
AW-00029867,Germany
AW-00029868,Sweden
AW-00029869,Belgium
AW-00029870,Germany
AW-00029871,Denmark
AW-00029872,Japan
AW-00029873,Norway
AW-00029874,United Kingdom
AW-00029875,United Kingdom
AW-00029876,Italy
AW-00029877,Canada
AW-00029878,Germany
AW-00029879,Japan
AW-00029880,Australia
AW-00029881,Netherlands
AW-00029882,US
AW-00029883,Norway
AW-00029884,Italy
AW-00029885,Australia
AW-00029886,Japan
AW-00029887,Netherlands
AW-00029888,France
AW-00029889,Italy
AW-00029890,United Kingdom
AW-00029891,Germany
AW-00029892,Netherlands
AW-00029893,Australia
AW-00029894,France
AW-00029895,Japan
AW-00029896,Norway
AW-00029897,US
AW-00029898,Germany
AW-00029899,Germany
AW-00029900,Japan
AW-00029901,Netherlands
AW-00029902,Sweden
AW-00029903,Italy
AW-00029904,Denmark
AW-00029905,France
AW-00029906,US
AW-00029907,Denmark
AW-00029908,Australia
AW-00029909,Norway
AW-00029910,Netherlands
AW-00029911,Belgium
AW-00029912,France
AW-00029913,Netherlands
AW-00029914,Spain
AW-00029915,Spain
AW-00029916,Netherlands
AW-00029917,Belgium
AW-00029918,Italy
AW-00029919,US
AW-00029920,Canada
AW-00029921,France
AW-00029922,US
AW-00029923,Sweden
AW-00029924,Italy
AW-00029925,Netherlands
AW-00029926,Netherlands
AW-00029927,France
AW-00029928,Denmark
AW-00029929,United Kingdom
AW-00029930,Netherlands
AW-00029931,Germany
AW-00029932,Australia
AW-00029933,France
AW-00029934,France
AW-00029935,Spain
AW-00029936,Spain
AW-00029937,Sweden
AW-00029938,Denmark
AW-00029939,Germany
AW-00029940,Denmark
AW-00029941,Spain
AW-00029942,Japan
AW-00029943,Netherlands
AW-00029944,Canada
AW-00029945,US
AW-00029946,Netherlands
AW-00029947,Germany
AW-00029948,France
AW-00029949,Belgium
AW-00029950,Italy
AW-00029951,Sweden
AW-00029952,Canada
AW-00029953,Norway
AW-00029954,Norway
AW-00029955,Norway
AW-00029956,Norway
AW-00029957,Sweden
AW-00029958,Sweden
AW-00029959,Italy
AW-00029960,France
AW-00029961,Norway
AW-00029962,Japan
AW-00029963,Denmark
AW-00029964,Japan
AW-00029965,Denmark
AW-00029966,United Kingdom
AW-00029967,Italy
AW-00029968,France
AW-00029969,United Kingdom
AW-00029970,Belgium
